# ----------------------------------------
# wiki.ubc.ca
# Top Events
# 20140311-20140410
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
2673,3,3,0,0.00
2990,3,3,0,0.00
3136,3,3,0,0.00
4975,3,3,0,0.00
1000,2,1,0,0.00
1001,2,1,0,0.00
1002,2,1,0,0.00
10273,2,2,0,0.00
10422,2,2,0,0.00
10631,2,2,0,0.00
11850,2,2,0,0.00
14616,2,2,0,0.00
14760,2,2,0,0.00
15897,2,2,0,0.00
16357,2,2,0,0.00
20277,2,2,0,0.00
2056,2,2,0,0.00
2484,2,2,0,0.00
2604,2,2,0,0.00
2644,2,2,0,0.00
2678,2,2,0,0.00
2701,2,1,0,0.00
2730,2,2,0,0.00
2738,2,1,0,0.00
2781,2,2,0,0.00
2858,2,2,0,0.00
2893,2,2,0,0.00
2951,2,2,0,0.00
3019,2,2,0,0.00
3177,2,2,0,0.00
3333,2,2,0,0.00
3397,2,2,0,0.00
3484,2,2,0,0.00
3563,2,1,0,0.00
3641,2,2,0,0.00
3665,2,2,0,0.00
3693,2,2,0,0.00
37208,2,2,0,0.00
3740,2,2,0,0.00
3756,2,2,0,0.00
3771,2,2,0,0.00
3845,2,2,0,0.00
3933,2,2,0,0.00
3943,2,2,0,0.00
3978,2,2,0,0.00
4003,2,2,0,0.00
4012,2,2,0,0.00
4062,2,2,0,0.00
4065,2,2,0,0.00
4262,2,2,0,0.00
4340,2,2,0,0.00
4349,2,2,0,0.00
4397,2,2,0,0.00
4423,2,2,0,0.00
4459,2,2,0,0.00
4463,2,2,0,0.00
4491,2,2,0,0.00
4647,2,1,0,0.00
4718,2,2,0,0.00
4756,2,2,0,0.00
4758,2,2,0,0.00
4839,2,2,0,0.00
4897,2,2,0,0.00
4901,2,2,0,0.00
4904,2,2,0,0.00
4947,2,2,0,0.00
4948,2,2,0,0.00
4966,2,2,0,0.00
50154,2,2,0,0.00
5078,2,2,0,0.00
5434,2,2,0,0.00
5487,2,2,0,0.00
5619,2,2,0,0.00
5759,2,2,0,0.00
5915,2,2,0,0.00
5998,2,2,0,0.00
60930,2,2,0,0.00
6117,2,2,0,0.00
6445,2,2,0,0.00
6583,2,2,0,0.00
6633,2,2,0,0.00
6715,2,2,0,0.00
7180,2,2,0,0.00
7223,2,2,0,0.00
7252,2,2,0,0.00
7372,2,2,0,0.00
7527,2,2,0,0.00
7706,2,2,0,0.00
7936,2,2,0,0.00
8083,2,2,0,0.00
8202,2,2,0,0.00
8286,2,2,0,0.00
8522,2,2,0,0.00
8901,2,2,0,0.00
9272,2,2,0,0.00
9864,2,2,0,0.00
9895,2,1,0,0.00
100001,1,1,0,0.00
100100,1,1,0,0.00
100123,1,1,0,0.00
1001913,1,1,0,0.00
10020,1,1,0,0.00
100328,1,1,0,0.00
100362,1,1,0,0.00
1004576,1,1,0,0.00
10047,1,1,0,0.00
10049,1,1,0,0.00
100566,1,1,0,0.00
100769,1,1,0,0.00
10088,1,1,0,0.00
10093,1,1,0,0.00
101003,1,1,0,0.00
101115,1,1,0,0.00
101324,1,1,0,0.00
101466,1,1,0,0.00
101500,1,1,0,0.00
1015399,1,1,0,0.00
101672,1,1,0,0.00
10170,1,1,0,0.00
10175,1,1,0,0.00
10201,1,1,0,0.00
102102,1,1,0,0.00
102355,1,1,0,0.00
102381,1,1,0,0.00
10244,1,1,0,0.00
1026162,1,1,0,0.00
102622,1,1,0,0.00
10265,1,1,0,0.00
102658,1,1,0,0.00
1027378,1,1,0,0.00
102763,1,1,0,0.00
102794,1,1,0,0.00
102863,1,1,0,0.00
102975,1,1,0,0.00
1031654,1,1,0,0.00
10323,1,1,0,0.00
103334,1,1,0,0.00
10334,1,1,0,0.00
10345,1,1,0,0.00
10349,1,1,0,0.00
1035623,1,1,0,0.00
10359,1,1,0,0.00
103640,1,1,0,0.00
10378,1,1,0,0.00
1038061,1,1,0,0.00
10397,1,1,0,0.00
10399,1,1,0,0.00
10408,1,1,0,0.00
104137,1,1,0,0.00
10414,1,1,0,0.00
104273,1,1,0,0.00
104349,1,1,0,0.00
104411,1,1,0,0.00
104511,1,1,0,0.00
1045564,1,1,0,0.00
104561,1,1,0,0.00
104568,1,1,0,0.00
104608,1,1,0,0.00
104691,1,1,0,0.00
104729,1,1,0,0.00
1047531,1,1,0,0.00
104792,1,1,0,0.00
104938,1,1,0,0.00
10500,1,1,0,0.00
105030,1,1,0,0.00
105096,1,1,0,0.00
10513,1,1,0,0.00
10520,1,1,0,0.00
10534,1,1,0,0.00
105361,1,1,0,0.00
105529,1,1,0,0.00
10555,1,1,0,0.00
105647,1,1,0,0.00
10569,1,1,0,0.00
105765,1,1,0,0.00
10583,1,1,0,0.00
105880,1,1,0,0.00
1059017,1,1,0,0.00
105971,1,1,0,0.00
1060552,1,1,0,0.00
10609,1,1,0,0.00
10625,1,1,0,0.00
106259,1,1,0,0.00
10636,1,1,0,0.00
10646,1,1,0,0.00
10652,1,1,0,0.00
106611,1,1,0,0.00
106722,1,1,0,0.00
106729,1,1,0,0.00
106761,1,1,0,0.00
106815,1,1,0,0.00
10683,1,1,0,0.00
10694,1,1,0,0.00
10698,1,1,0,0.00
1071387,1,1,0,0.00
10717,1,1,0,0.00
107188,1,1,0,0.00
107205,1,1,0,0.00
107249,1,1,0,0.00
10732,1,1,0,0.00
107354,1,1,0,0.00
107389,1,1,0,0.00
1074568,1,1,0,0.00
107474,1,1,0,0.00
107506,1,1,0,0.00
10751,1,1,0,0.00
10759,1,1,0,0.00
10768,1,1,0,0.00
107727,1,1,0,0.00
10777,1,1,0,0.00
10791,1,1,0,0.00
10801,1,1,0,0.00
10816,1,1,0,0.00
10826,1,1,0,0.00
10851,1,1,0,0.00
10852,1,1,0,0.00
108525,1,1,0,0.00
10856,1,1,0,0.00
10859,1,1,0,0.00
108634,1,1,0,0.00
10866,1,1,0,0.00
10867,1,1,0,0.00
10874120,1,1,0,0.00
10875,1,1,0,0.00
108842,1,1,0,0.00
10896,1,1,0,0.00
108972,1,1,0,0.00
1089912,1,1,0,0.00
10902,1,1,0,0.00
109052,1,1,0,0.00
109095,1,1,0,0.00
109170,1,1,0,0.00
109299,1,1,0,0.00
109380,1,1,0,0.00
109606,1,1,0,0.00
109649,1,1,0,0.00
10966817,1,1,0,0.00
10979,1,1,0,0.00
10982,1,1,0,0.00
11002,1,1,0,0.00
110412,1,1,0,0.00
11046,1,1,0,0.00
110519,1,1,0,0.00
110585,1,1,0,0.00
11075,1,1,0,0.00
11078,1,1,0,0.00
11082,1,1,0,0.00
11085,1,1,0,0.00
11093,1,1,0,0.00
11099,1,1,0,0.00
111032,1,1,0,0.00
111094,1,1,0,0.00
11121,1,1,0,0.00
111237,1,1,0,0.00
11127,1,1,0,0.00
11130,1,1,0,0.00
111333,1,1,0,0.00
11134,1,1,0,0.00
111390,1,1,0,0.00
111400,1,1,0,0.00
111411,1,1,0,0.00
111466,1,1,0,0.00
111512,1,1,0,0.00
11154,1,1,0,0.00
11161,1,1,0,0.00
1117032,1,1,0,0.00
111724,1,1,0,0.00
11179,1,1,0,0.00
111807,1,1,0,0.00
11181,1,1,0,0.00
112089,1,1,0,0.00
11214,1,1,0,0.00
112160,1,1,0,0.00
112177,1,1,0,0.00
112268,1,1,0,0.00
11228751,1,1,0,0.00
112303,1,1,0,0.00
11235,1,1,0,0.00
1124156,1,1,0,0.00
112520,1,1,0,0.00
11253,1,1,0,0.00
11270,1,1,0,0.00
11276,1,1,0,0.00
112802,1,1,0,0.00
112890,1,1,0,0.00
11302,1,1,0,0.00
11305,1,1,0,0.00
11311,1,1,0,0.00
113153,1,1,0,0.00
11339,1,1,0,0.00
11342,1,1,0,0.00
11368,1,1,0,0.00
113793,1,1,0,0.00
1138073,1,1,0,0.00
11385,1,1,0,0.00
11386,1,1,0,0.00
113927,1,1,0,0.00
11399,1,1,0,0.00
114037,1,1,0,0.00
114201,1,1,0,0.00
1142015,1,1,0,0.00
114202,1,1,0,0.00
1142185,1,1,0,0.00
11423,1,1,0,0.00
1143740,1,1,0,0.00
11439,1,1,0,0.00
1144510,1,1,0,0.00
11463,1,1,0,0.00
1147873,1,1,0,0.00
114902,1,1,0,0.00
11494,1,1,0,0.00
11512,1,1,0,0.00
11515,1,1,0,0.00
115218,1,1,0,0.00
115421,1,1,0,0.00
11553,1,1,0,0.00
115785,1,1,0,0.00
11598,1,1,0,0.00
11601,1,1,0,0.00
1161533,1,1,0,0.00
11629,1,1,0,0.00
116429,1,1,0,0.00
11648,1,1,0,0.00
116593,1,1,0,0.00
11674,1,1,0,0.00
117109,1,1,0,0.00
117441,1,1,0,0.00
11759,1,1,0,0.00
117604,1,1,0,0.00
11763,1,1,0,0.00
117850,1,1,0,0.00
117853,1,1,0,0.00
11788,1,1,0,0.00
117902,1,1,0,0.00
117913,1,1,0,0.00
11800,1,1,0,0.00
118030,1,1,0,0.00
118161,1,1,0,0.00
118173,1,1,0,0.00
11830,1,1,0,0.00
118521,1,1,0,0.00
118578,1,1,0,0.00
11859,1,1,0,0.00
11871,1,1,0,0.00
118727,1,1,0,0.00
118746,1,1,0,0.00
11886,1,1,0,0.00
118980,1,1,0,0.00
118992,1,1,0,0.00
1191447,1,1,0,0.00
11916,1,1,0,0.00
1192274,1,1,0,0.00
11925,1,1,0,0.00
119709,1,1,0,0.00
11975,1,1,0,0.00
1200336,1,1,0,0.00
120051,1,1,0,0.00
120187,1,1,0,0.00
120250,1,1,0,0.00
